2025-05-26 14:22:47.028 [info] Using repo backend url https://repo42.cursor.sh
2025-05-26 14:22:49.952 [info] Using repo backend url https://repo42.cursor.sh
2025-05-26 14:22:51.149 [info] Git graph is disabled. shouldIndex: true isEnabled: false
2025-05-26 21:40:32.074 [error] Failed to check if git graph is enabled [unavailable] read ETIMEDOUT
2025-05-26 21:40:32.075 [error] Failed to check if git graph is enabled [unavailable] read ETIMEDOUT
2025-05-26 21:40:32.075 [error] Failed to check if git graph is enabled [unavailable] read ETIMEDOUT
2025-05-26 21:40:32.075 [error] Failed to check if git graph is enabled [unavailable] read ETIMEDOUT
2025-05-27 08:09:15.131 [error] Failed to check if git graph is enabled [unavailable] read ETIMEDOUT
2025-05-27 08:09:15.131 [error] Failed to check if git graph is enabled [unavailable] read ETIMEDOUT
2025-05-27 08:09:15.131 [error] Failed to check if git graph is enabled [unavailable] read ETIMEDOUT
2025-05-27 08:09:15.132 [error] Failed to check if git graph is enabled [unavailable] read ETIMEDOUT
2025-05-27 08:12:48.825 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 08:17:48.826 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 08:22:48.833 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 08:27:48.836 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 08:32:48.841 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 08:37:48.843 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 08:42:48.850 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 08:47:48.852 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 08:52:48.858 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 08:57:48.862 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 09:02:48.868 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo ENOTFOUND repo42.cursor.sh
2025-05-27 10:12:49.556 [error] Failed to check if git graph is enabled [unavailable] getaddrinfo EAI_AGAIN repo42.cursor.sh
